"","j_hidp","j_qfhigh_dv"
"1",277059218,96
"2",618630018,-8
"3",141460418,-8
"4",754371618,13
"5",414800018,3
"6",414738818,16
"7",210881618,6
"8",210902018,-8
"9",618949618,-8
"10",210514418,-8
"11",617895618,-8
"12",210364818,-8
"13",822589218,-8
"14",76126018,-8
"15",551051618,96
"16",73902418,-9
"17",279942418,-8
"18",144636018,-8
"19",482446418,-8
"20",347255618,3
"21",823820018,15
"22",72739618,96
"23",68006818,4
"24",68013618,14
"25",68040818,14
"26",68047618,96
"27",68054418,2
"28",68061218,1
"29",68068018,96
"30",68074818,13
"31",68068018,13
"32",68095218,16
"33",68013618,13
"34",72746418,-8
"35",72746418,7
"36",68122418,2
"37",68129218,13
"38",68129218,13
"39",68136018,96
"40",72760018,-8
"41",68149618,1
"42",68156418,96
"43",68163218,96
"44",68163898,13
"45",68170018,1
"46",68170018,7
"47",68170018,11
"48",68176818,2
"49",68176818,1
"50",68183618,13
"51",68190418,1
"52",68190418,2
"53",68197218,96
"54",68204018,2
"55",68204018,2
"56",68217618,7
"57",68217618,13
"58",68224418,13
"59",68224418,10
"60",68238018,1
"61",68238018,13
"62",68244818,2
"63",68244818,5
"64",68251618,14
"65",68251618,13
"66",68258418,2
"67",68251618,96
"68",72766818,-8
"69",68265218,2
"70",72766818,-8
"71",68265218,13
"72",68272018,2
"73",72773618,-8
"74",68278818,1
"75",68278818,1
"76",72773618,96
"77",72773618,1
"78",68047618,2
"79",68285618,14
"80",68285618,96
"81",68285618,13
"82",68292418,14
"83",68292418,4
"84",72780418,96
"85",72780418,-8
"86",68312818,15
"87",68312818,15
"88",68319618,7
"89",68312818,3
"90",68326418,96
"91",68333218,96
"92",68340018,96
"93",68353618,3
"94",68353618,4
"95",68360418,13
"96",68374018,3
"97",68380818,96
"98",68387618,96
"99",68394418,13
"100",68387618,96
"101",72787218,96
"102",72794018,-8
"103",68414818,13
"104",68428418,96
"105",68428418,14
"106",68428418,3
"107",68428418,7
"108",68435218,2
"109",68435218,3
"110",76037618,13
"111",76037618,96
"112",68442018,1
"113",68442018,7
"114",68448818,10
"115",68462418,96
"116",68476018,1
"117",68469218,13
"118",68482818,13
"119",68482818,13
"120",68482818,13
"121",68482818,3
"122",68489618,5
"123",68503218,13
"124",68503218,1
"125",68503218,2
"126",68510018,96
"127",68516818,96
"128",68516818,13
"129",68523618,3
"130",68523618,13
"131",68530418,2
"132",72800818,-8
"133",72807618,96
"134",72814418,-8
"135",72814418,-8
"136",68537218,3
"137",72821218,-8
"138",72828018,-8
"139",72834818,-8
"140",68544018,96
"141",72834818,-8
"142",68544018,13
"143",68550818,96
"144",68557618,14
"145",68557618,96
"146",68564418,13
"147",68557618,13
"148",68571218,7
"149",68571218,1
"150",68571218,2
"151",68578018,13
"152",68578018,2
"153",68584818,13
"154",68584818,96
"155",68591618,13
"156",68591618,13
"157",68591618,13
"158",68598418,14
"159",68605218,16
"160",68605218,96
"161",68605218,2
"162",68605218,1
"163",68612018,2
"164",68625618,1
"165",68618818,1
"166",68122418,1
"167",68632418,14
"168",68632418,7
"169",68639218,3
"170",68639218,2
"171",72841618,96
"172",72848418,-8
"173",72841618,96
"174",68646018,1
"175",76092018,1
"176",68652818,96
"177",68652818,96
"178",68666418,10
"179",68666418,1
"180",68673218,96
"181",68673218,2
"182",68686818,3
"183",68693618,96
"184",68700418,96
"185",68700418,96
"186",68714018,1
"187",68714018,2
"188",68714018,10
"189",68720818,2
"190",68720818,2
"191",68727618,2
"192",68734418,1
"193",68734418,2
"194",68748018,7
"195",68768418,2
"196",68775218,7
"197",68782018,7
"198",68782018,3
"199",68788818,1
"200",68795618,13
"201",68795618,16
"202",68802418,13
"203",68809218,7
"204",68809218,3
"205",68809218,13
"206",68809218,13
"207",68816018,13
"208",68822818,2
"209",68817378,13
"210",68816018,96
"211",76153218,13
"212",68829618,2
"213",68836418,13
"214",68836418,13
"215",68843218,13
"216",68850018,2
"217",68856818,1
"218",68856818,2
"219",68863618,96
"220",68870418,1
"221",68870418,2
"222",68877218,1
"223",68877218,2
"224",68884018,13
"225",68884018,7
"226",68890818,1
"227",68897618,5
"228",68904418,96
"229",68904418,13
"230",68918018,3
"231",68911218,96
"232",68931618,13
"233",68931618,96
"234",68938418,2
"235",68945218,3
"236",68945218,96
"237",68945218,7
"238",68958818,96
"239",68965618,13
"240",68965618,2
"241",68965618,3
"242",68972418,13
"243",68972418,3
"244",68972418,13
"245",68986018,1
"246",68992818,96
"247",68999618,96
"248",69013218,16
"249",69006418,2
"250",69020018,13
"251",69020018,13
"252",69020018,13
"253",69026818,96
"254",69040418,3
"255",69040418,16
"256",69047218,14
"257",69060818,16
"258",69060818,96
"259",69067618,3
"260",69088018,14
"261",69101618,96
"262",69108418,13
"263",69122018,14
"264",69122018,14
"265",69128818,1
"266",69128818,1
"267",69135618,7
"268",72862018,-8
"269",69142418,96
"270",69142418,2
"271",69143098,7
"272",69142418,1
"273",69142418,13
"274",68272018,13
"275",69149218,2
"276",69149218,2
"277",72868818,-8
"278",69156018,13
"279",72875618,-8
"280",72875618,-8
"281",72889218,-8
"282",72882418,-8
"283",69162818,2
"284",69162818,7
"285",69169618,13
"286",69169618,13
"287",69176418,2
"288",69183218,7
"289",69183218,13
"290",69190018,7
"291",69196818,2
"292",69203618,96
"293",69203618,96
"294",69210418,96
"295",72896018,-8
"296",72902818,-8
"297",72902818,-8
"298",69237618,14
"299",69237618,96
"300",69244418,3
"301",69244418,96
"302",69244418,2
"303",68319618,7
"304",69251218,7
"305",69251218,14
"306",69264818,14
"307",69264818,7
"308",69264818,13
"309",69272298,2
"310",69271618,5
"311",69278418,2
"312",69292018,2
"313",69285218,1
"314",69285218,7
"315",69298818,1
"316",69305618,2
"317",69305618,1
"318",69319218,2
"319",69319218,1
"320",69326018,7
"321",68333218,3
"322",69332818,1
"323",69332818,1
"324",69339618,1
"325",69360018,14
"326",69360018,96
"327",69360018,13
"328",72909618,-8
"329",72909618,-8
"330",69373618,14
"331",69366818,3
"332",69380418,3
"333",69380418,13
"334",69387218,2
"335",69387218,3
"336",69394018,96
"337",69394018,14
"338",69394018,13
"339",69394698,7
"340",69400818,13
"341",69400818,13
"342",69407618,2
"343",68340018,3
"344",69414418,13
"345",69414418,1
"346",69421218,2
"347",69421218,2
"348",72916418,-8
"349",72916418,-8
"350",69455218,13
"351",69455218,96
"352",69455218,13
"353",69455218,1
"354",69455218,10
